feature,importance
min_pe_ratio,1059.5433385893703
num_quarters,802.8227232098579
mean_net_profit,350.07910487800837
trend_market_cap,175.62289706617594
mean_roa,172.75926291942596
min_market_cap,160.65821805596352
mean_market_cap,147.94093054533005
latest_market_cap,131.69506181776524
trend_total_revenue,130.55224683880806
trend_debt_to_assets_ratio,121.21497148275375
trend_roa,107.15810615941882
max_net_profit_yoy_growth,94.35462038964033
std_debt_to_assets_ratio,93.89586758613586
change_market_cap,88.35647094249725
latest_net_profit_yoy_growth,86.2733564376831
std_pe_ratio,86.1651675850153
mean_revenue_yoy_growth,86.10424529016018
max_pe_ratio,83.40037702769041
min_roa,81.56587381660938
std_roa,76.62776926159859
std_net_profit_yoy_growth,69.63469390571117
trend_revenue_yoy_growth,66.47563082911074
trend_roe,63.78788712620735
latest_pe_ratio,62.420531421899796
min_net_profit,61.0039421543479
trend_pb_ratio,59.7509688436985
latest_roe,59.482635110616684
min_total_revenue,59.09739001095295
max_roe,58.548912812024355
max_market_cap,57.137908190488815
min_revenue_yoy_growth,54.77346247434616
change_debt_to_assets_ratio,52.99162882566452
std_operating_cash_flow,51.849434450268745
min_roe,51.31352785229683
min_operating_cash_flow,51.28429991006851
trend_net_profit_yoy_growth,50.352893959730864
trend_net_profit,47.34161385148764
latest_debt_to_assets_ratio,46.2285343259573
std_market_cap,45.08244797587395
mean_pe_ratio,43.76608916185796
change_net_profit_yoy_growth,43.50623160600662
trend_pe_ratio,41.12900722026825
max_revenue_yoy_growth,40.8087816350162
mean_pb_ratio,40.76667456328869
latest_revenue_yoy_growth,39.27975007891655
industry_enc,36.541461646556854
latest_pb_ratio,36.4777971804142
std_pb_ratio,35.444856733083725
change_pb_ratio,34.50396913290024
change_net_profit,34.30113408342004
min_net_profit_yoy_growth,32.553302094340324
mean_roe,30.66098190844059
latest_net_profit,30.620906203985214
trend_operating_cash_flow,30.501898736692965
change_roa,29.583995208144188
latest_roa,29.348274141550064
max_total_revenue,29.012649849057198
change_operating_cash_flow,27.738514184951782
change_total_revenue,27.605712085962296
max_net_profit,27.420173853635788
mean_net_profit_yoy_growth,26.464400947093964
min_pb_ratio,26.397271398454905
latest_total_revenue,25.09472292661667
min_debt_to_assets_ratio,24.306443095207214
max_debt_to_assets_ratio,23.287330150604248
std_revenue_yoy_growth,22.800950706005096
change_revenue_yoy_growth,22.338910073041916
std_roe,21.991568133234978
change_pe_ratio,21.083019375801086
latest_operating_cash_flow,19.62819517031312
std_total_revenue,18.736666083335876
mean_operating_cash_flow,16.57941521331668
std_net_profit,15.464112997055054
change_roe,14.883351266384125
roe_decline_streak,12.724604070186615
mean_debt_to_assets_ratio,10.087442860007286
max_operating_cash_flow,9.962836602702737
max_roa,9.578927919268608
mean_total_revenue,9.26614397764206
loss_quarter_ratio,8.61195906996727
max_pb_ratio,8.355888240039349
high_debt_ratio,0.0
